Tunnbröd,2014-05-06 00:00:00.000,20,580
Spegesild,2014-05-06 00:00:00.000,27,548
Gudbrandsdalsost,2014-04-17 00:00:00.000,31,714
Thüringer Rostbratwurst,2014-04-17 00:00:00.000,32,746
Rhönbräu Klosterbier,2014-05-06 00:00:00.000,46,1155
Genen Shouyu,2013-09-04 00:00:00.000,6,122
Mishi Kobe Niku,2014-01-23 00:00:00.000,5,95
Aniseed Syrup,2014-05-06 00:00:00.000,12,328
Filo Mix,2014-05-06 00:00:00.000,29,500
Mozzarella di Giovanni,2014-04-14 00:00:00.000,38,806
Louisiana Hot Spiced Okra,2014-05-06 00:00:00.000,8,239
Mascarpone Fabioli,2014-05-06 00:00:00.000,15,297
Gumbär Gummibärchen,2014-04-15 00:00:00.000,32,753
Queso Manchego La Pastora,2014-05-06 00:00:00.000,14,344
Steeleye Stout,2014-04-23 00:00:00.000,36,883
Vegie-spread,2014-04-22 00:00:00.000,17,445
Grandma's Boysenberry Spread,2014-05-06 00:00:00.000,12,301
Pâté chinois,2014-05-06 00:00:00.000,33,903
Ipoh Coffee,2014-05-04 00:00:00.000,28,580
Maxilaku,2014-04-21 00:00:00.000,21,520
Laughing Lumberjack Lager,2014-04-28 00:00:00.000,10,184
Schoggi Schokolade,2014-03-26 00:00:00.000,9,365
Sir Rodney's Scones,2014-04-29 00:00:00.000,39,1016
Escargots de Bourgogne,2014-04-09 00:00:00.000,18,534
Wimmers gute Semmelknödel,2014-05-06 00:00:00.000,30,740
Côte de Blaye,2014-04-17 00:00:00.000,24,623
Uncle Bob's Organic Dried Pears,2014-05-06 00:00:00.000,29,763
Gula Malacca,2014-04-22 00:00:00.000,24,601
Chai,2014-05-05 00:00:00.000,38,828
Valkoinen suklaa,2014-05-05 00:00:00.000,10,235
Guaraná Fantástica,2014-05-05 00:00:00.000,51,1125
Zaanse koeken,2014-03-26 00:00:00.000,21,485
Outback Lager,2014-04-30 00:00:00.000,39,817
Nord-Ost Matjeshering,2014-05-01 00:00:00.000,32,612
Carnarvon Tigers,2014-04-27 00:00:00.000,27,539
Ikura,2014-05-06 00:00:00.000,33,742
Sirop d'érable,2014-04-29 00:00:00.000,24,603
Jack's New England Clam Chowder,2014-05-06 00:00:00.000,47,981
Chef Anton's Cajun Seasoning,2014-05-06 00:00:00.000,20,453
Louisiana Fiery Hot Pepper Sauce,2014-04-15 00:00:00.000,32,745
Teatime Chocolate Biscuits,2014-05-06 00:00:00.000,37,723
Röd Kaviar,2014-05-06 00:00:00.000,14,293
NuNuCa Nuß-Nougat-Creme,2014-04-28 00:00:00.000,18,318
Inlagd Sill,2014-04-17 00:00:00.000,31,805
Tarte au sucre,2014-04-23 00:00:00.000,48,1083
Konbu,2014-05-06 00:00:00.000,40,891
Singaporean Hokkien Fried Mee,2014-04-20 00:00:00.000,30,697
Chef Anton's Gumbo Mix,2014-04-24 00:00:00.000,10,298
Gnocchi di nonna Alice,2014-04-16 00:00:00.000,50,1263
Gustaf's Knäckebröd,2014-04-06 00:00:00.000,14,348
Lakkalikööri,2014-05-06 00:00:00.000,39,981
Raclette Courdavault,2014-04-20 00:00:00.000,54,1496
Geitost,2014-04-28 00:00:00.000,32,755
Chartreuse verte,2014-05-06 00:00:00.000,30,793
Pavlova,2014-05-06 00:00:00.000,43,1158
Perth Pasties,2014-05-01 00:00:00.000,30,722
Rogede sild,2014-04-09 00:00:00.000,14,508
Chang,2014-05-06 00:00:00.000,44,1057
Chocolade,2014-01-05 00:00:00.000,6,138
Flotemysost,2014-04-21 00:00:00.000,42,1057
Original Frankfurter grüne Soße,2014-05-06 00:00:00.000,38,791
Alice Mutton,2014-05-01 00:00:00.000,37,978
Gorgonzola Telino,2014-05-05 00:00:00.000,51,1397
Camembert Pierrot,2014-05-06 00:00:00.000,51,1577
Boston Crab Meat,2014-04-30 00:00:00.000,41,1103
Sasquatch Ale,2014-05-01 00:00:00.000,19,506
Queso Cabrales,2014-05-05 00:00:00.000,38,706
Tourtière,2014-05-01 00:00:00.000,36,755
Sir Rodney's Marmalade,2014-05-06 00:00:00.000,16,313
Scottish Longbreads,2014-05-01 00:00:00.000,34,799
Rössle Sauerkraut,2014-05-04 00:00:00.000,33,640
Longlife Tofu,2014-04-03 00:00:00.000,13,297
Ravioli Angelo,2014-04-28 00:00:00.000,23,434
Tofu,2014-05-06 00:00:00.000,22,404
Gravad lax,2014-03-20 00:00:00.000,6,125
Northwoods Cranberry Sauce,2014-05-06 00:00:00.000,13,372
Manjimup Dried Apples,2014-04-28 00:00:00.000,39,886
