Track_Name,Album_Title,Artist
For Those About To Rock (We Salute You),For Those About To Rock We Salute You,AC/DC
Balls to the Wall,Balls to the Wall,Accept
Fast As a Shark,Restless and Wild,Accept
Restless and Wild,Restless and Wild,Accept
Princess of the Dawn,Restless and Wild,Accept
Put The Finger On You,For Those About To Rock We Salute You,AC/DC
Let's Get It Up,For Those About To Rock We Salute You,AC/DC
Inject The Venom,For Those About To Rock We Salute You,AC/DC
Snowballed,For Those About To Rock We Salute You,AC/DC
Evil Walks,For Those About To Rock We Salute You,AC/DC
C.O.D.,For Those About To Rock We Salute You,AC/DC
Breaking The Rules,For Those About To Rock We Salute You,AC/DC
Night Of The Long Knives,For Those About To Rock We Salute You,AC/DC
Spellbound,For Those About To Rock We Salute You,AC/DC
Go Down,Let There Be Rock,AC/DC
Dog Eat Dog,Let There Be Rock,AC/DC
Let There Be Rock,Let There Be Rock,AC/DC
Bad Boy Boogie,Let There Be Rock,AC/DC
Problem Child,Let There Be Rock,AC/DC
Overdose,Let There Be Rock,AC/DC
Hell Ain't A Bad Place To Be,Let There Be Rock,AC/DC
Whole Lotta Rosie,Let There Be Rock,AC/DC
Walk On Water,Big Ones,Aerosmith
Love In An Elevator,Big Ones,Aerosmith
Rag Doll,Big Ones,Aerosmith
What It Takes,Big Ones,Aerosmith
Dude (Looks Like A Lady),Big Ones,Aerosmith
Janie's Got A Gun,Big Ones,Aerosmith
Cryin',Big Ones,Aerosmith
Amazing,Big Ones,Aerosmith
Blind Man,Big Ones,Aerosmith
Deuces Are Wild,Big Ones,Aerosmith
The Other Side,Big Ones,Aerosmith
Crazy,Big Ones,Aerosmith
Eat The Rich,Big Ones,Aerosmith
Angel,Big Ones,Aerosmith
Livin' On The Edge,Big Ones,Aerosmith
All I Really Want,Jagged Little Pill,Alanis Morissette
You Oughta Know,Jagged Little Pill,Alanis Morissette
Perfect,Jagged Little Pill,Alanis Morissette
Hand In My Pocket,Jagged Little Pill,Alanis Morissette
Right Through You,Jagged Little Pill,Alanis Morissette
Forgiven,Jagged Little Pill,Alanis Morissette
You Learn,Jagged Little Pill,Alanis Morissette
